CustomerID,Gender,Age,SeniorCitizen,MaritalStatus,Dependents,Tenure,ContractType,InternetService,PhoneService,StreamingTV,StreamingMovies,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,MonthlyCharges,TotalCharges,PaymentMethod,PaperlessBilling,NumberOfComplaints,CustomerSatisfactionScore,SupportTickets,LastInteractionDate,ReferralStatus,CustomerLifetimeValue,Churn,MonthlyCharges_Outlier,Tenure_Outlier,CustomerLifetimeValue_Outlier
CUST-100000,Female,40,0,Married,Yes,22,Month-to-Month,Fiber Optic,No,No,No,No,Yes,No,No,83.12,1832.84,Mailed Check,Yes,1,3,2,2025-10-16,No,2724.64,Yes,0,0,0
CUST-100001,Male,23,0,Married,Yes,43,Month-to-Month,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,23.7,995.73,Credit Card (Auto),No,1,4,2,2025-06-29,Yes,1213.14,No,0,0,0
CUST-100002,Female,38,0,Widowed,No,28,Month-to-Month,DSL,Yes,No,Yes,No,No,No,No,72.93,1965.35,Bank Transfer (Auto),Yes,0,3,2,2026-01-22,No,3242.81,No,0,0,0
CUST-100003,Female,27,0,Married,No,1,Month-to-Month,Fiber Optic,Yes,No,No,No,Yes,No,No,93.85,94.91,Bank Transfer (Auto),No,1,3,4,2026-04-14,Yes,1697.67,Yes,0,0,0
CUST-100004,Male,37,0,Single,Yes,0,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.77,0.0,Credit Card (Auto),Yes,2,3,5,2025-09-27,No,430.29,No,0,0,0
CUST-100005,Female,18,0,Divorced,No,72,Two Year,DSL,Yes,Yes,Yes,No,No,No,No,86.54,6214.46,Bank Transfer (Auto),Yes,0,4,0,2025-11-10,No,8020.89,No,0,0,0
CUST-100006,Female,25,0,Single,No,42,Two Year,Fiber Optic,Yes,No,Yes,Yes,No,No,No,98.71,3909.97,Electronic Check,Yes,1,4,4,2025-08-01,No,4964.67,Yes,0,0,0
CUST-100007,Female,61,0,Single,No,48,One Year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,115.37,5503.57,Electronic Check,Yes,1,3,1,2026-03-11,No,6752.63,Yes,0,0,0
CUST-100008,Male,52,0,Single,No,1,Month-to-Month,DSL,Yes,Yes,No,No,No,Yes,No,76.71,74.35,Mailed Check,Yes,3,2,5,2025-09-09,No,1118.1,Yes,0,0,0
CUST-100009,Male,59,0,Single,Yes,26,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,30.14,782.99,Electronic Check,Yes,0,4,2,2025-08-07,Yes,1126.62,Yes,0,0,0
