,0
RiskScore,0.19481313509217463
MonthlyCharges,0.08965165069848086
AvgMonthlyRevenue,0.08598110360213611
ContractType,0.06590560575436108
TotalCharges,0.05874901910336319
CustomerLifetimeValue,0.05872298894069467
Tenure,0.05381024600988057
SupportTickets,0.04827145022395003
Age,0.04651154953948302
ComplaintFrequency,0.04587785256358325
EngagementScore,0.036548323899796446
ServiceCount,0.02141175418932797
InternetService,0.02002714334211148
PaymentMethod,0.018569911592241167
MaritalStatus,0.01793618724852211
NumberOfComplaints,0.015022214602398467
CustomerSatisfactionScore,0.014917606858792037
LongTermCustomer,0.012116001102237225
OnlineSecurity,0.009984752375607137
TechSupport,0.008802011644630885
DeviceProtection,0.008741261175118255
ReferralStatus,0.00866654957224636
Gender,0.008416264594099342
PaperlessBilling,0.0083890578841407
StreamingTV,0.008228109861556835
OnlineBackup,0.007887314183761006
Dependents,0.007517089718499445
StreamingMovies,0.006977471673338456
PhoneService,0.004375694106902024
HighValueCustomer,0.0036158865357569544
SeniorCitizen,0.00355479231080828
